Timestamp start: 1715965618193
Timestamp end: 1715966398734

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      525.5  1677.8   109.4   187.5   214.7   351.3   403.8   434.5   457.3   484.4   522.6   596.6  5470.7 31060.7 40696.7   7452.2     7434
read      432.3   878.1    93.8   157.5   175.8   323.1   404.7   456.5   496.7   546.5   613.9   733.6  2594.5 10837.9 32119.2  67202.4    67201
read      382.0   508.9    93.8   158.3   176.5   316.3   396.7   444.3   480.1   525.1   585.6   693.6  1554.5  6092.3 20039.3  85902.1    85927
read      362.6   314.3    93.8   157.2   174.5   316.6   397.0   445.5   482.6   528.1   585.2   672.6   977.0  2922.0  9932.3  63979.3    63953
read      347.7   329.7   101.3   151.8   167.5   307.6   392.2   443.0   477.9   515.5   559.1   622.1   803.1  2608.2 14501.8  31618.0    31595
read      357.4   311.2   101.3   158.1   175.9   311.3   390.3   436.6   471.3   514.4   571.2   659.3   919.2  3827.8  9699.3  87974.8    87879
read      467.9  1390.7   101.3   184.9   210.1   339.8   388.5   417.0   437.4   462.6   495.9   550.2  3016.2 28727.8 37313.4   7319.4     7287
read      385.3   418.9    93.8   157.1   174.7   314.1   395.7   449.7   492.4   543.7   609.1   724.2  1670.6  3959.4 14203.6  62297.1    62295
read      448.1  1332.0   118.1   190.0   215.6   333.8   373.6   397.6   416.3   438.7   472.1   537.3  2792.8 28979.8 37617.3   6610.7     6561
read      520.3  1004.7   101.3   172.9   193.9   383.2   503.7   577.0   641.2   733.4   843.9   995.5  2375.8 13645.4 35782.0  22499.4    22532
read      375.0   316.4    93.8   159.0   176.9   320.4   408.4   465.0   506.7   555.8   615.8   702.9  1066.5  3098.3 11969.7  60657.6    60653
read      363.8   304.2   101.3   158.8   176.4   318.7   402.1   455.7   495.9   542.3   596.6   672.1   847.0  3089.0 11515.4  59003.3    59076
read      351.8   203.3    93.8   158.8   176.1   316.5   396.2   445.3   483.2   529.0   583.3   652.8   791.0  1098.4  7717.7  60183.9    60154
read      447.5   582.2   101.3   168.0   188.4   366.3   481.1   542.0   587.5   648.2   746.4   889.5  1231.2  7319.1 30381.1  23011.7    22964
read      462.3  1039.4   109.4   193.3   218.7   363.4   418.2   451.4   475.4   505.5   546.3   628.8  2776.0 15108.4 32415.3   8085.6     8172
read      420.3   662.3   101.3   161.2   179.3   336.6   443.4   503.0   541.9   586.4   643.6   799.8  1273.8  8100.6 32277.8  27636.5    27652
read      368.7   297.6    93.8   156.2   173.6   321.3   416.0   474.8   515.9   559.5   609.3   677.8   887.4  2441.4 12358.8  37568.8    37594
read      441.7   549.8   101.3   166.9   186.9   359.5   479.1   541.1   586.2   643.9   744.3   891.6  1234.2  6939.9 23684.0  24251.0    24367
read      378.2   318.7   101.3   157.3   174.7   324.3   421.4   480.8   521.5   565.5   616.9   693.7  1096.0  3211.5 11480.7  33779.9    33771
read      358.6   246.1   101.3   160.4   178.2   315.0   396.2   444.4   480.1   524.7   583.0   675.1   916.0  2404.4  6274.8  84893.5    84944
read      358.0   255.0    93.8   160.5   178.1   315.2   396.1   444.4   480.7   525.7   584.3   674.5   896.6  1996.4  8431.8  85562.5    85666
read      365.4   291.6    93.8   158.1   175.4   319.6   407.8   463.9   504.6   550.8   605.6   679.0   857.1  2086.1 11572.5  52055.2    51918
read      362.7   303.2   101.3   155.6   172.5   316.2   409.9   469.1   509.2   550.4   596.2   658.1   809.8  2654.0 10229.2  34407.4    34406
read      402.0   370.1   101.3   160.6   178.9   336.2   446.3   508.2   548.6   595.1   660.4   822.6  1187.7  3239.0 14122.1  28759.3    28664
read      371.9   384.8   101.3   154.2   171.2   316.5   410.7   469.9   512.1   556.2   607.3   679.7   994.7  4105.4 12471.2  38253.1    38289
read      472.8   783.6   101.3   170.9   191.5   385.3   499.0   566.6   623.6   690.8   768.6   874.4  1277.6  9759.0 31948.2  20672.8    20658
read      502.7  1159.4   109.4   178.0   200.8   391.3   483.1   538.1   577.8   620.3   670.7   747.5  2337.7 14839.1 37019.3  13894.5    13840
read      404.9   575.0    93.8   163.9   183.7   335.1   421.6   471.4   509.4   557.4   625.5   748.1  1504.1  8020.6 30286.1  93448.9    93419
read      370.4   324.5   101.3   163.1   182.3   323.1   405.6   453.8   489.4   532.7   589.9   688.4   994.7  2579.0 13468.1  98361.7    98284
read      364.5   296.7   101.3   159.4   176.8   315.4   397.6   449.0   488.3   535.9   594.8   681.6   939.5  3103.0  9772.0  71299.5    71313
read      355.3   270.0   101.3   154.0   170.6   308.0   397.7   456.5   498.6   543.2   591.5   653.9   817.6  2410.8  9651.7  42043.8    42089
read      364.4   383.1   101.3   156.7   174.2   312.7   399.6   457.5   498.9   545.1   596.0   664.1   862.0  4148.0 12585.9  46380.6    46458
read      358.7   304.0    93.8   153.8   170.1   310.7   407.3   465.7   502.5   540.5   582.9   638.5   858.8  2929.1  9889.7  30697.2    30755
read      357.8   292.7    93.8   153.2   169.8   313.0   400.5   454.8   493.7   536.9   587.2   656.8   862.1  2691.2 10365.1  42857.0    42889
read      361.1   287.3    93.8   160.0   178.2   315.6   397.3   444.6   479.3   522.2   579.2   671.2   922.7  3228.8  8714.3  93437.1    93552
read      362.8   292.3    93.8   157.9   175.2   315.0   398.5   452.1   492.7   540.5   597.2   678.9   920.4  2548.0  9505.0  65711.7    65694
read      448.3   679.5    93.8   161.6   180.7   344.4   471.3   540.0   589.0   659.1   788.8   972.3  1348.3  8818.7 31907.2  29427.3    29574
read      377.0   335.5    93.8   157.9   175.5   319.0   409.5   468.6   512.5   562.6   619.9   702.4  1246.7  2822.4 11427.7  51396.4    51355
read      361.6   331.0    93.8   156.9   174.4   313.6   394.5   444.8   483.7   531.1   589.5   674.9   924.4  2933.3 11066.0  67447.2    67361
read      476.2  1018.1   101.3   164.7   185.1   376.6   471.4   532.5   578.9   632.1   693.6   790.1  1475.7 14106.3 32361.8  16236.5    16287
read      374.2   439.6   101.3   157.8   176.0   315.8   395.9   444.4   481.3   527.5   588.6   687.8  1300.8  5047.7 14541.1  81512.0    81508
read      369.6   363.8    93.8   159.5   177.9   319.0   402.5   451.1   486.7   530.2   588.5   686.6  1010.8  3302.5 11749.9  87659.1    87619
read      375.8   366.5   101.3   162.5   182.3   325.4   406.8   455.7   491.8   535.5   593.4   696.9  1009.7  4135.6 12633.1  99092.4    99068
read      365.2   266.2   101.3   156.6   174.0   312.9   400.5   459.8   503.5   552.2   608.9   683.7  1014.1  2673.2  8673.2  51338.0    51267
read      465.8   991.8   109.4   179.3   202.7   377.2   455.5   499.6   531.5   567.6   611.3   677.9  1858.8 13087.8 33944.0  11817.4    11822
read      397.1   590.3    93.8   161.9   181.3   326.6   410.8   460.9   498.2   543.4   605.6   721.5  1435.9  8516.2 29437.8  97197.3    97494
read      369.0   406.1    93.8   161.9   180.4   318.8   400.6   448.3   483.5   526.3   583.0   678.5   985.2  3441.3 17054.6  97397.4    97350
read      356.2   318.8    93.8   155.4   172.4   308.1   391.4   445.7   488.7   537.3   591.3   662.7   844.8  2430.1 13906.2  55497.6    55460
read      360.0   349.8    93.8   158.8   176.1   310.4   390.9   439.6   476.6   522.6   581.7   673.8   962.0  2907.3 12952.3  85939.5    85984
read      362.3   328.4   101.3   158.0   175.7   310.9   390.8   439.8   477.4   524.4   584.1   679.0  1022.3  3130.9 12301.3  81919.5    82043
read      355.4   329.8    93.8   153.7   170.3   307.9   391.7   445.9   487.0   534.1   587.9   658.7   845.7  2688.3 11760.7  52913.5    52873
read      498.7  1198.9   101.3   175.4   198.1   381.8   469.1   522.2   560.3   602.5   650.6   727.1  2705.0 13944.6 37030.7  13923.2    13911
read      374.6   376.0    93.8   154.4   171.7   310.5   397.9   457.0   501.6   552.8   612.2   700.5  1368.0  3657.8 11004.8  50087.1    49984
read      454.5  1108.5   109.4   184.5   209.1   361.4   424.5   459.9   484.7   512.4   546.6   604.5  2305.7 13733.4 36191.5   9313.1     9274
read      479.3   787.5   101.3   166.1   186.9   367.2   499.8   576.0   638.6   728.2   833.2   968.8  1337.1 10924.2 32501.3  27181.1    27187
read      512.1  1083.3    93.8   173.3   194.0   394.9   503.0   574.1   625.9   680.2   741.5   838.0  2094.4 12745.1 36196.8  18666.2    18735
read      389.9   440.7    93.8   160.4   178.7   322.6   405.4   456.1   494.9   543.0   608.8   727.9  1678.6  4696.7 17919.2  86563.0    86505
read      363.0   360.7    93.8   159.3   177.0   311.7   392.5   439.7   474.5   518.3   577.3   675.5  1010.4  3550.1 15505.7  92977.5    93039
read      362.2   380.1    93.8   158.7   175.9   310.6   390.0   439.4   478.4   526.9   587.4   676.1   951.1  3645.8 13179.4  75979.5    75999
read      364.1   488.9   101.3   152.4   168.7   307.4   402.8   464.0   503.7   542.9   586.1   639.8   817.1  6562.5 24517.9  32360.4    32324
read      363.1   332.3   101.3   159.2   176.8   311.7   392.0   441.1   479.1   526.4   586.4   679.8  1000.5  3131.0 11045.1  84261.2    84255
read      364.6   383.9    93.8   159.4   176.9   312.5   392.4   441.9   480.5   527.8   587.3   677.4   938.3  4284.2 13579.0  81744.0    81759
read      358.6   349.8    93.8   152.0   168.4   306.9   399.3   462.1   504.8   549.1   595.9   656.0   808.4  3353.5 14719.9  37237.0    37291
read      362.7   354.2    93.8   154.6   171.8   310.7   396.3   453.3   497.2   545.9   601.1   672.0   878.2  3460.4 10900.5  53793.2    53818
read      405.5   411.4   101.3   156.7   174.9   327.8   445.3   510.8   552.5   601.0   671.4   852.8  1240.2  4398.7 12693.7  30392.8    30297
read      360.9   392.3    93.8   151.6   167.6   307.3   403.7   466.5   505.6   545.1   587.1   639.8   796.1  4783.5 12884.2  31528.7    31569
read      358.5   561.5    93.8   152.2   168.6   307.3   397.1   458.8   502.1   547.2   595.6   656.3   815.8  3531.9 10898.8  38914.1    38927
read      387.6  1010.4   109.4   183.0   203.5   349.3   396.6   420.5   436.1   455.8   478.4   516.2   674.6 10745.2 37405.7  10699.4    10652
read      342.1   290.1    93.8   160.6   178.3   306.7   382.0   426.8   460.1   499.9   550.0   628.0   787.9  1099.2  7941.1  98156.3    98119
read      353.6   261.3    93.8   154.9   172.4   312.7   395.2   452.0   494.7   542.4   592.6   652.4   758.6  1643.7  9998.0  48105.9    48176
read      353.4   392.6    93.8   152.6   169.2   306.9   396.4   456.0   495.8   536.7   580.1   632.4   732.7  2866.9 12446.3  34925.7    34929
read      340.5   201.6    93.8   153.0   170.1   307.5   384.3   429.2   463.6   505.2   559.2   634.5   784.7  1098.5  7097.3  69718.4    69735
read      355.7   284.8    93.8   159.0   176.5   331.4   417.0   457.8   484.0   511.4   543.8   588.6   686.0  2899.8 11975.2  20797.5    20753
