Timestamp start: 1715963773181
Timestamp end: 1715964553701

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      519.5  1580.2   109.4   186.0   213.1   356.2   409.4   440.6   462.6   489.4   525.5   594.2  5102.8 29533.9 39353.0   7398.3     7434
read      442.0   970.0   101.3   160.9   179.0   327.3   411.4   465.0   505.9   555.8   619.2   725.4  2598.7 12111.8 36934.0  67259.0    67201
read      397.1   568.3    93.8   163.7   182.7   327.7   411.3   461.5   499.3   545.0   606.7   709.3  1549.8  7348.7 28105.1  86020.2    85927
read      365.3   387.5   101.3   159.0   176.1   315.0   395.8   447.2   488.5   538.2   597.8   677.4  1105.0  2758.2  7885.2  63899.8    63953
read      355.9   282.4   101.3   154.3   170.3   308.3   404.0   463.7   502.5   541.7   583.4   635.7   790.9  2854.7 12174.3  31526.1    31595
read      360.4   295.9    93.8   162.4   180.1   315.0   395.3   442.7   477.5   520.1   575.1   658.9   897.2  2942.7 10278.0  87963.7    87879
read      469.7  1385.7   109.4   189.2   215.2   350.7   399.8   429.1   450.7   474.8   506.6   561.9  2966.0 28161.3 42840.6   7288.9     7287
read      398.8   528.8    93.8   161.7   179.6   323.1   406.5   461.1   503.0   553.6   620.0   730.5  1679.1  6782.6 17541.0  62207.5    62295
read      480.6  1396.4   118.1   192.6   221.0   345.9   389.8   416.3   435.9   461.2   495.3   564.9  3591.1 28095.2 36521.9   6529.8     6561
read      483.2   866.0   101.3   169.1   189.8   376.7   494.9   554.1   598.6   662.3   766.1   922.8  1761.6 12882.5 32188.1  22487.9    22532
read      375.6   339.1   101.3   161.9   179.8   324.3   409.7   464.1   505.8   555.7   614.6   690.9   951.7  3416.8 11887.6  60533.8    60653
read      354.0   193.1   101.3   159.6   176.8   316.5   397.9   450.5   491.6   539.8   595.1   663.1   775.5  1065.9  5832.1  59108.4    59076
read      355.7   196.3    93.8   160.2   177.4   317.5   399.1   452.9   494.3   543.1   600.6   669.6   784.7  1089.4  5683.0  60082.5    60154
read      432.2   457.5    93.8   164.7   184.3   369.5   485.8   542.8   582.1   630.4   701.6   828.1  1178.4  6508.9 14294.4  22976.7    22964
read      480.9  1033.9   109.4   196.6   224.6   380.5   440.8   475.6   502.0   533.4   574.4   649.7  3074.3 12535.5 32322.7   8178.3     8172
read      416.6   515.7   101.3   161.6   179.9   340.5   457.9   519.3   558.3   601.0   658.9   793.5  1243.0  6201.8 26765.1  27709.3    27652
read      371.2   369.9   101.3   156.9   174.1   317.5   413.0   475.1   518.4   564.1   613.1   676.7   872.2  3166.9 15194.9  37599.0    37594
read      442.4   507.8   101.3   167.5   187.7   365.4   484.3   545.3   590.6   650.7   740.9   878.6  1224.1  6849.8 16193.4  24318.8    24367
read      374.3   291.9   101.3   157.8   175.1   320.3   420.1   482.4   523.6   566.7   614.9   684.5  1042.6  2792.6  9679.8  33811.1    33771
read      360.2   269.4   101.3   161.2   179.1   317.4   398.8   446.2   481.6   524.5   580.8   670.0   884.1  2701.1  9051.9  84907.4    84944
read      360.1   289.3    93.8   160.3   178.1   317.1   397.6   445.3   480.6   523.5   580.2   672.9   897.8  2494.9  9993.7  85706.0    85666
read      362.3   249.5   101.3   158.2   175.6   319.4   404.9   458.8   499.1   545.9   601.4   675.6   839.7  2225.1  9476.1  52222.6    51918
read      362.6   326.3   101.3   155.6   172.2   318.0   409.6   465.9   503.9   545.0   592.2   657.3   804.4  2835.2 13249.7  34384.5    34406
read      441.3   422.9   101.3   164.6   184.6   352.7   476.7   546.7   599.4   676.1   806.4   979.5  1311.5  4654.5 13271.8  28621.8    28664
read      372.8   306.4   101.3   158.7   176.2   319.9   413.6   475.4   518.1   563.6   614.3   682.1  1027.9  2524.6 10193.1  38262.1    38289
read      470.3   769.7   101.3   170.2   191.0   386.1   497.9   560.0   612.4   679.5   760.1   870.7  1259.7 11033.3 32158.3  20582.2    20658
