Timestamp start: 1715964762037
Timestamp end: 1715965542552

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      514.4  1560.9   101.3   190.5   214.3   351.5   405.3   435.5   457.6   482.7   514.9   588.1  5036.8 30753.3 36546.7   7439.5     7434
read      400.3   621.7    93.8   161.0   178.1   311.1   389.7   440.1   481.2   532.3   596.8   710.4  2021.1  6845.1 30114.5  67003.2    67201
read      360.7   325.4    93.8   160.4   177.5   306.7   384.0   431.5   467.3   510.2   566.3   649.4  1312.3  3724.7  8884.4  85929.8    85927
read      351.4   288.0   101.3   158.2   175.0   310.2   386.7   433.7   470.8   517.5   573.8   644.0   808.9  2626.3 11076.7  63917.6    63953
read      351.8   368.3   101.3   153.1   169.2   298.7   393.8   456.8   497.3   536.1   576.9   629.6   831.0  2902.0 11583.8  31541.9    31595
read      353.7   318.3    93.8   160.4   177.6   305.2   382.6   430.7   466.1   508.0   562.1   638.9   875.6  3789.1 10384.2  87840.6    87879
read      464.3  1374.0   109.4   186.7   209.7   339.1   386.2   412.9   433.0   457.2   488.4   542.9  3579.9 27843.7 38628.5   7315.7     7287
read      371.7   415.3    93.8   158.9   176.1   311.8   390.2   440.1   480.4   530.1   591.3   679.9  1452.1  3754.0 15911.6  62058.5    62295
read      455.5  1353.2   118.1   191.9   215.2   333.8   373.0   396.7   414.9   436.6   469.4   539.3  2818.8 27012.6 37217.7   6579.8     6561
read      492.9   922.0   101.3   174.4   194.6   377.4   502.3   572.9   630.1   703.6   792.6   913.5  1706.7 13080.7 34935.6  22512.7    22532
read      371.9   317.6    93.8   162.3   180.2   324.9   405.3   456.4   495.7   542.6   599.4   676.7  1028.1  3272.7 10985.1  60611.1    60653
read      355.2   218.2   101.3   161.4   178.7   320.7   399.7   449.1   487.0   532.6   585.7   650.2   761.0  1273.5  8972.6  59112.0    59076
read      355.2   222.4    93.8   161.0   178.3   321.7   401.1   451.6   489.7   533.9   586.3   651.6   759.3  1055.4  8484.1  60113.5    60154
read      438.1   636.6   101.3   168.2   187.9   356.3   473.8   533.2   577.0   634.2   721.0   846.4  1184.8  7577.8 31735.7  22927.8    22964
read      452.8  1117.5   101.3   192.2   215.2   351.5   402.9   434.8   458.7   487.0   524.9   592.2  2779.0 19498.4 37150.2   8154.0     8172
read      390.2   454.9   101.3   161.6   179.2   320.1   428.6   489.5   527.5   567.8   619.0   739.2  1100.1  5263.6 20207.4  27709.7    27652
read      357.5   342.9   101.3   155.9   172.9   307.6   392.6   454.9   498.6   542.5   588.2   642.6   802.5  3645.3 11311.1  37462.9    37594
read      425.8   535.2   101.3   165.3   184.5   343.1   461.2   520.6   561.8   615.8   705.2   850.2  1174.5  7053.0 28447.8  24473.7    24367
read      363.9   298.2    93.8   156.2   173.4   308.6   401.3   466.1   509.2   551.5   597.2   666.4  1026.0  2880.7 10863.9  33786.6    33771
read      361.2   294.1    93.8   163.6   181.8   318.5   398.5   448.0   484.5   528.4   583.8   664.5   845.4  2551.9 10947.6  85072.3    84944
read      357.3   274.6    93.8   163.2   181.3   315.4   394.8   443.4   479.7   523.5   578.5   656.1   823.9  2471.1  9649.9  85735.5    85666
read      356.9   258.0   101.3   158.6   176.1   317.3   394.0   443.1   482.3   530.0   585.6   655.3   821.5  2494.1  8011.6  51903.4    51918
read      354.6   293.3   101.3   155.5   172.4   309.5   396.1   455.6   496.2   538.7   584.2   640.9   806.6  2096.1 11888.1  34481.0    34406
read      428.1   467.0   101.3   165.1   184.8   340.3   464.1   534.0   584.6   653.1   767.1   917.7  1212.2  5192.9 27909.8  28759.6    28664
read      378.9   378.3   101.3   157.5   175.3   318.3   411.2   474.0   518.3   565.2   618.8   693.4  1141.5  4152.5 12071.7  38233.9    38289
read      473.2   872.8   101.3   166.9   187.8   379.3   493.5   560.3   613.7   672.4   739.5   840.9  1334.3 11411.4 32413.7  20696.8    20658
read      481.7  1130.3   101.3   177.7   199.8   377.3   465.6   516.1   550.5   590.1   635.1   705.5  2122.4 19413.7 35915.0  13754.2    13840
read      386.0   486.2    93.8   165.0   184.5   321.6   400.7   450.8   488.5   533.7   591.8   686.7  1530.3  6460.0 18780.1  93213.5    93419
read      358.8   342.1    93.8   163.7   182.5   314.0   389.1   435.1   469.6   511.3   566.0   644.9   862.1  3566.0 11878.8  98271.9    98284
