Timestamp start: 1715973106202
Timestamp end: 1715973886828

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      509.8  1587.0   109.4   180.6   209.8   348.6   400.6   431.2   453.3   478.5   512.6   583.9  5021.5 29370.4 39503.9   7334.5     7434
read      442.4   787.1    93.8   161.7   180.5   330.5   414.0   465.3   505.9   561.0   637.1   825.3  2491.3 10331.5 31956.4  67087.8    67201
read      386.8   373.7   101.3   163.7   183.1   329.1   412.8   463.2   501.1   546.8   608.6   708.4  1279.4  4681.5 12078.7  85623.0    85927
read      397.3   536.2   101.3   161.5   179.8   331.3   413.7   462.9   500.5   545.9   606.5   702.1  1604.1  5464.0 29830.8  64092.8    63953
read      383.0   469.3   101.3   158.4   175.6   320.8   412.2   468.3   507.3   548.0   594.8   666.2  1210.4  5106.4 22822.3  31530.2    31595
read      396.5   489.6   101.3   163.4   183.0   326.8   407.3   458.0   495.9   542.0   605.0   716.4  1726.7  5841.6 16868.1  87906.5    87879
read      392.0   868.5   109.4   186.8   211.2   331.4   369.6   391.5   406.5   428.5   459.9   520.1  1585.5 10996.6 35199.7   7303.8     7287
read      446.4   778.7    93.8   162.2   181.5   331.7   418.7   474.5   520.0   578.3   660.2  1002.1  2007.4 10958.9 32141.5  62428.5    62295
read      423.3  1075.6   118.1   186.6   213.2   330.6   370.3   394.1   412.3   435.5   467.6   522.0  2627.4 13686.6 38313.6   6567.5     6561
read      569.7  1338.8   101.3   170.0   190.2   387.2   520.7   607.5   672.5   742.7   827.9   973.1  4344.3 17272.5 40974.6  22494.8    22532
read      403.0   576.6   101.3   162.5   180.6   329.6   411.5   464.1   505.4   556.5   621.6   724.0  1620.8  6894.9 29176.0  60657.2    60653
read      363.0   293.4   101.3   160.2   177.4   324.0   404.3   453.7   492.5   538.4   593.0   665.7   844.0  2182.4  8583.7  59086.5    59076
read      363.0   229.9   101.3   160.2   177.5   324.0   405.2   456.0   494.4   539.2   593.3   666.2   850.7  2314.5  5930.7  60292.5    60154
