Timestamp start: 1715974015911
Timestamp end: 1715974796501

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      473.3  1323.8   109.4   192.9   218.3   354.6   405.5   435.8   459.0   485.3   518.3   583.4  2818.0 20167.3 41044.7   7331.8     7434
read      384.5   503.2    93.8   157.2   174.6   307.2   384.0   431.6   469.6   519.6   586.4   699.2  1797.1  5695.9 17204.6  67115.8    67201
read      359.6   330.2   101.3   158.2   175.6   305.7   384.7   432.7   468.9   512.8   569.9   659.5  1347.6  3328.0  7505.8  85682.5    85927
read      371.5   469.0    93.8   158.0   174.8   310.9   385.7   432.0   469.3   518.9   580.8   663.8  1378.4  5591.0 17209.7  63891.0    63953
read      366.8   460.0    93.8   152.2   167.9   300.0   393.9   453.5   493.1   533.8   577.5   636.1  1203.3  4906.3 19252.1  31595.8    31595
read      386.8   510.3   101.3   163.5   181.8   315.5   394.9   443.6   480.5   526.0   585.7   685.4  1715.8  6658.3 17504.5  88146.5    87879
read      418.2  1014.4   118.1   192.1   214.4   333.7   371.7   393.1   408.1   429.4   461.1   526.7  2680.0 13785.0 32024.9   7254.5     7287
read      444.1   695.9   101.3   163.7   182.2   315.9   399.9   463.2   520.0   596.2   721.3  1239.8  1916.2  9773.5 30966.6  62025.2    62295
read      395.4   939.7   109.4   190.3   212.6   326.4   366.3   389.0   404.5   426.8   456.3   506.3  2072.7 11071.6 41402.9   6512.0     6561
read      479.5   951.9   101.3   166.9   186.3   376.6   499.2   579.7   637.2   692.9   757.2   850.8  1346.7 12109.5 35940.7  22427.5    22532
read      398.0   695.5   101.3   157.1   174.2   311.8   387.7   436.5   478.6   532.0   597.0   701.1  1793.2 10013.7 30751.5  60469.2    60653
read      349.4   236.8   101.3   157.6   174.7   311.9   386.6   431.6   467.4   513.2   570.4   642.4   799.7  2170.8  8310.8  59069.0    59076
read      358.6   346.8    93.8   158.2   175.1   308.9   384.5   431.6   469.2   516.2   575.4   654.6  1211.2  3593.2  9964.4  60049.5    60154
read      433.9   756.6   101.3   162.5   180.3   348.9   454.5   510.7   553.3   613.7   695.9   811.7  1177.5 10448.6 31930.0  23016.2    22964
read      456.3  1159.8   109.4   186.5   209.3   353.9   410.1   441.8   463.9   489.3   520.9   578.1  2755.7 12702.0 36788.3   8170.5     8172
read      473.6   924.0   101.3   161.6   179.6   344.3   467.7   536.1   587.6   660.2   764.1   921.3  1892.6 13115.4 33817.8  27528.2    27652
read      374.4   602.5   101.3   152.1   168.2   299.6   388.5   450.3   494.9   540.1   588.6   658.7  1150.6  8713.2 30859.8  37452.8    37594
read      460.5   855.8   101.3   162.9   181.6   360.4   480.9   547.6   601.2   667.6   748.1   860.7  1231.1 11528.1 32361.2  24230.2    24367
read      387.0   597.9   101.3   153.1   169.4   304.6   405.4   469.5   511.3   554.2   605.7   698.3  1181.7  8397.7 29003.9  33716.5    33771
read      346.9   217.5   101.3   158.6   175.4   303.6   382.1   429.0   463.5   504.0   556.4   634.2   909.5  2254.6  5331.7  85211.2    84944
read      373.0   328.2   101.3   161.6   179.5   314.3   395.5   445.1   482.6   527.5   585.8   681.9  1529.2  3775.0  8421.3  85916.2    85666
read      347.5   235.8   101.3   153.7   169.7   305.4   380.0   430.2   471.0   522.1   580.0   649.5   838.5  2095.7  7492.2  51970.8    51918
read      368.6   477.0   101.3   154.7   170.9   306.5   399.4   460.6   503.0   544.8   590.3   651.4  1000.8  6102.4 15960.8  34425.2    34406
read      390.6   756.9   101.3   154.6   170.9   316.6   417.1   473.4   508.9   545.8   589.4   660.6  1160.8  7828.8 35476.2  28754.2    28664
read      365.5   344.9   101.3   153.5   170.0   310.2   395.4   451.3   492.8   538.4   590.1   670.3  1193.1  3772.9 10156.9  38448.8    38289
read      361.4   302.7   101.3   160.0   177.6   335.1   424.5   465.8   493.2   522.0   552.4   601.1   745.4  2838.8 10726.9  20666.8    20658
read      381.0   439.5   109.4   174.1   192.7   359.6   425.6   458.5   480.9   505.2   537.2   587.5   742.2  5786.5 15956.1  13803.0    13840
read      419.9   491.8   101.3   166.4   187.6   351.3   454.8   519.2   568.4   625.0   692.6   823.0  1368.3  3043.7 11642.6  93574.8    93419
read      350.2   228.5    93.8   162.6   180.8   314.5   390.3   435.9   470.4   511.2   564.0   639.7   802.2  1284.2 10080.3  98411.2    98284
