Timestamp start: 1715974908540
Timestamp end: 1715975689136

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      352.8   263.5   101.3   164.3   182.9   314.2   389.1   435.0   469.4   509.9   562.8   639.3   808.0  2035.6 11089.2  99053.5    99068
read      355.6   226.0   101.3   160.2   177.2   319.9   396.5   445.3   484.6   532.0   584.9   653.9   786.5  1667.7  9198.5  51694.8    51267
read      404.0   651.4   109.4   177.8   199.0   353.5   412.3   444.8   468.1   499.4   543.5   627.3  1425.2  8189.6 32161.2  11883.8    11822
read      444.1   653.1   101.3   172.0   195.7   360.9   439.9   492.4   536.3   593.1   675.8   804.9  1812.3  8740.2 30889.6  97311.2    97494
read      360.2   266.8    93.8   162.4   181.3   318.4   393.8   440.4   475.1   518.9   575.5   661.2   869.8  3271.2  8736.6  97241.5    97350
read      366.8   344.7   101.3   159.5   176.8   327.0   405.4   451.5   486.5   529.8   584.7   666.9   937.3  2837.8 13121.2  55512.2    55460
read      363.1   288.9   101.3   162.9   181.1   317.4   395.7   442.9   479.1   524.2   582.1   670.2   967.1  2587.4  8640.8  85867.8    85984
read      364.4   245.7   101.3   163.5   182.0   322.3   403.0   452.7   489.9   534.4   590.7   675.2   868.9  2608.8  7987.0  81961.8    82043
read      358.2   227.0   101.3   159.2   176.4   323.2   400.4   448.8   485.8   531.4   586.0   660.0   807.2  1953.3  7520.7  52917.8    52873
read      424.3   716.3   109.4   176.0   196.2   363.5   435.4   478.0   509.4   548.1   600.9   680.1  1217.8 11203.9 31293.4  14049.2    13911
read      381.6   320.8    93.8   160.4   177.7   324.0   404.6   458.1   500.5   550.6   615.8   725.2  1418.7  2693.0  9828.1  50086.8    49984
read      401.0   707.0   109.4   184.4   207.8   345.5   396.6   426.9   450.7   481.2   523.2   587.7  1373.1 10171.6 35326.8   9286.0     9274
read      424.0   729.2   101.3   162.8   180.7   331.3   439.4   501.0   540.7   585.0   645.6   803.7  1244.5  9626.2 34394.2  27110.0    27187
read      438.2   632.0   101.3   172.8   192.5   371.1   468.1   523.4   565.1   620.5   688.3   789.7  1237.5  9158.8 30838.1  18748.5    18735
read      383.8   384.5    93.8   166.7   185.7   328.9   408.8   457.8   496.1   543.0   604.2   700.4  1247.6  4327.2 13709.5  86557.5    86505
read      361.3   313.1   101.3   164.8   183.2   320.3   397.6   443.9   478.9   522.7   577.8   662.5   864.8  2186.7  7931.8  92898.5    93039
read      364.5   243.9    93.8   162.3   179.9   321.7   403.5   454.8   492.8   537.2   590.7   671.4   876.3  2824.9  5765.3  76029.5    75999
read      368.3   330.9   101.3   157.5   174.7   314.2   409.2   470.4   512.3   553.2   596.4   653.4   871.5  4559.7 10812.4  32385.0    32324
read      371.1   277.0   101.3   166.7   185.3   329.4   410.7   459.9   497.3   542.3   599.9   685.2   885.8  2335.4 10486.9  84297.8    84255
read      360.0   235.1   101.3   163.7   181.3   319.2   400.0   449.0   485.2   528.7   583.7   665.5   852.4  2483.8  7040.9  81655.5    81759
read      360.4   282.1   101.3   156.6   173.3   314.0   400.7   462.1   506.3   550.7   598.2   658.0   788.9  2757.2  7942.1  37355.0    37291
read      359.9   247.1   101.3   161.6   178.6   323.1   401.3   450.0   487.4   532.6   585.7   656.3   799.9  1891.8  8456.6  53969.5    53818
read      359.4   296.8   101.3   159.3   175.6   314.7   404.8   461.8   499.0   537.7   579.5   633.2   778.4  2928.5 14261.3  30401.8    30297
read      350.0   291.6   101.3   155.5   172.1   313.5   397.0   448.7   483.7   520.9   562.5   619.4   737.2  2373.0 12307.4  31589.8    31569
read      366.6   446.4   101.3   157.2   174.5   318.7   399.4   452.1   489.8   531.8   580.8   643.4   828.7  6104.2 16040.8  38927.8    38927
read      439.6   935.7   109.4   181.6   204.0   354.4   413.1   449.4   476.8   509.0   549.3   619.7  2653.7 11599.4 37008.9  10725.5    10652
read      431.9   583.8   101.3   170.9   192.9   350.6   430.3   482.8   525.8   581.8   659.8   800.6  1855.6  8548.8 23759.6  98328.2    98119
read      372.4   373.1    93.8   158.8   176.2   320.7   399.4   451.2   492.5   540.9   597.6   676.4  1086.5  5718.7 11669.8  48316.5    48176
read      353.8   261.1   101.3   154.4   170.9   308.3   395.5   452.5   493.4   536.1   582.5   640.8   849.4  2228.7  6996.1  34756.5    34929
read      353.2   244.5    93.8   159.8   176.6   315.2   394.9   442.9   479.0   522.0   576.4   651.3   826.3  1867.8  6677.0  69779.5    69735
read      478.7   910.2   101.3   172.0   192.5   380.9   492.8   555.1   607.2   673.8   754.2   872.3  1423.9 13663.3 32103.9  20670.5    20753
read      503.6   731.6   101.3   172.8   197.0   371.5   463.3   528.5   584.6   659.6   777.7  1484.5  2129.8  9087.8 30477.7  84596.2    84642
read      364.4   332.4   101.3   155.1   172.5   315.4   396.9   452.6   496.1   543.9   598.2   669.4   960.2  2937.3 10911.2  42375.8    42333
read      360.6   224.5   101.3   160.1   177.2   321.5   401.1   449.9   487.0   532.7   589.4   666.8   877.9  2135.3  6516.1  61703.0    61587
read      368.2   231.6   101.3   164.6   182.5   323.1   406.8   458.2   497.1   542.2   599.6   683.5   932.4  2475.2  5972.5  77837.8    77998
read      372.8   396.5   101.3   167.5   187.0   322.7   398.4   445.2   481.3   525.6   583.3   673.1   969.7  3862.2 13430.2  97565.2    97625
read      450.2   714.3   101.3   169.4   189.1   355.4   469.7   533.3   578.2   634.3   719.9   850.1  1313.3 10661.6 30888.5  23763.2    23781
read      394.0   357.5   101.3   166.5   184.8   328.0   413.4   467.4   510.5   563.4   630.9   748.6  1549.0  3511.7 10509.7  66870.0    66723
read      364.1   381.4   101.3   158.6   175.0   312.1   406.4   467.3   507.7   546.2   587.2   639.5   825.0  2968.8 13501.2  30836.0    31016
read      358.9   269.7   101.3   158.7   175.9   316.0   392.3   443.6   487.7   539.7   596.3   665.7   817.0  2616.8  9775.2  47581.5    47394
read      366.2   372.4   101.3   166.0   184.1   319.7   397.1   444.0   479.8   523.4   578.8   660.7   859.4  4576.5 13322.7  95389.5    95335
read      398.4  1077.5   118.1   202.1   224.9   319.9   353.8   372.2   387.4   403.7   432.3   494.4  2153.1 20167.8 35949.0   5304.0     5252
read      427.0   628.0   101.3   167.7   186.2   329.4   413.9   470.5   517.2   574.8   656.2   898.6  1829.3  7696.6 30455.2  65792.8    65908
read      440.2   947.6   101.3   173.9   192.7   352.8   433.3   474.0   502.5   536.7   585.6   694.1  2085.2 11355.5 35896.2  17019.8    16889
read      431.8   484.2   101.3   167.0   186.0   333.1   431.4   504.5   562.1   631.9   744.8  1059.3  1547.0  4616.4 17481.3  43021.5    42912
read      376.0   382.1   101.3   168.7   188.6   329.4   406.8   454.4   490.7   535.2   591.4   680.1   910.5  4392.0 12714.6  99848.2    99898
read      397.8   437.0   101.3   163.6   181.4   331.1   442.5   501.6   540.1   585.3   650.3   796.4  1075.0  4089.9 28000.2  26331.2    26385
read      474.1   795.2   101.3   171.3   191.1   372.0   491.9   567.0   625.9   693.4   774.7   890.8  1323.7 10245.9 32195.5  22616.8    22616
read      407.7   540.5   101.3   161.6   179.3   322.7   404.5   464.8   516.5   578.0   648.9   820.1  1633.0  5078.1 19808.9  50417.5    50605
