#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      336.9   219.2   160.7   221.1   236.2   315.8   355.7   378.9   396.9   419.3   448.8   496.5   600.6  1897.2 10892.6  29880.7    30000  1715721377661  1715721387848
read      340.7   229.9   160.7   225.8   241.2   319.0   357.9   381.1   398.8   421.6   451.4   498.2   593.5  2331.8  9609.0  30023.6    30005  1715721389358  1715721399497
read      343.2   209.1   160.7   221.0   237.5   325.0   365.9   389.5   406.0   428.5   457.2   501.6   602.8  1753.7  8814.6  29931.0    30010  1715721401006  1715721411124
read      331.1   212.8   160.7   222.8   236.9   308.6   344.9   368.7   387.3   409.6   440.8   490.0   591.9  1855.4 10372.5  29980.4    30015  1715721412632  1715721422747
read      351.4   192.4   160.7   227.0   244.2   333.4   374.1   398.2   416.8   438.6   468.6   516.2   624.6  1457.6  8621.2  30077.4    30020  1715721424258  1715721434372
read      342.5   188.4   160.7   224.7   240.5   323.6   364.8   389.1   406.1   429.2   458.8   504.5   597.8  1107.6  9315.9  30020.7    30025  1715721435881  1715721445998
read      341.8   216.0   160.7   220.1   236.1   322.3   363.7   387.6   404.1   427.2   456.4   501.6   608.0  1656.6  8952.3  30078.5    30030  1715721447509  1715721457624
read      333.3   188.0   160.7   221.8   236.8   313.3   351.1   374.1   392.9   415.0   444.3   490.9   593.5  1452.5  9301.4  30005.6    30035  1715721459136  1715721469250
read      354.4   919.0   160.7   225.0   240.1   316.8   357.2   381.6   399.9   423.2   453.4   499.9   601.5  3658.6 57110.1  30078.8    30040  1715721470759  1715721480876
read      345.1   196.0   160.7   223.2   239.5   325.8   367.8   392.4   410.4   433.2   464.0   510.5   621.4  1207.6  8378.4  29958.1    30045  1715721482387  1715721492503
