#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      322.9   184.1   160.7   220.2   233.3   306.2   341.7   363.2   378.4   397.4   422.7   461.4   544.9  1224.5  8101.9  29913.2    30000  1715724246858  1715724257010
read      320.4   190.7   160.7   219.8   231.9   301.2   336.0   357.0   372.2   392.4   418.0   458.3   549.9  1917.9  8243.8  30071.0    30005  1715724258518  1715724268647
read      321.5   171.9   160.7   220.7   234.1   304.9   339.6   360.5   374.9   394.3   418.7   456.6   540.0  1493.7  7914.3  29949.9    30010  1715724270154  1715724280274
read      323.2   200.6   160.7   221.6   234.7   305.0   340.0   361.2   376.0   395.7   420.7   458.2   542.2  1990.4  9495.7  29976.7    30015  1715724281785  1715724291896
read      330.4   199.3   160.7   224.2   238.0   309.6   346.9   370.1   387.5   407.1   433.8   475.1   576.8  1937.9  8125.5  30041.8    30020  1715724293405  1715724303519
read      326.1   194.6   160.7   220.5   233.9   307.7   343.9   366.2   382.5   401.7   428.5   468.3   569.7  1471.3  8604.2  30002.5    30025  1715724305030  1715724315157
read      328.5   211.8   160.7   223.7   237.9   310.0   345.1   366.9   383.0   401.9   428.6   467.6   560.8  1719.4 11222.8  29987.1    30030  1715724316665  1715724326788
read      327.5   193.4   160.7   225.3   239.3   309.8   344.2   365.7   381.3   400.0   426.0   464.5   549.8  1455.2  8786.9  30031.6    30035  1715724328300  1715724338418
read      323.9   182.0   160.7   222.3   236.0   306.9   341.7   363.0   378.0   396.9   421.8   459.5   546.5  1351.3  8600.4  30082.0    30040  1715724339928  1715724350046
read      327.2   207.0   160.7   224.7   238.6   308.6   342.7   363.9   379.1   398.1   423.6   462.6   550.6  1699.2  9744.3  30037.3    30045  1715724351555  1715724361667
read      325.9   164.3   160.7   224.8   238.8   309.4   343.8   365.0   380.1   398.5   423.3   460.6   546.0  1402.2  7861.5  30054.1    30050  1715724363175  1715724373293
